dates,Close,SandP_Change
4/8/1960,56.389999,-0.00230
4/11/1960,56.169998,-0.00390
4/12/1960,56.299999,0.00230
4/13/1960,56.299999,0.00000
4/14/1960,56.43,0.00230
4/18/1960,56.59,0.00280
4/19/1960,56.130001,-0.00810
4/20/1960,55.439999,-0.01230
4/21/1960,55.59,0.00270
4/22/1960,55.419998,-0.00310
4/25/1960,54.860001,-0.01010
4/26/1960,55.040001,0.00330
4/27/1960,55.040001,0.00000
4/28/1960,54.560001,-0.00870
4/29/1960,54.369999,-0.00350
5/2/1960,54.130001,-0.00440
5/3/1960,54.830002,0.01290
5/4/1960,55.040001,0.00380
5/5/1960,54.860001,-0.00330
5/6/1960,54.75,-0.00200
5/9/1960,54.799999,0.00090
5/10/1960,54.419998,-0.00690
5/11/1960,54.57,0.00280
5/12/1960,54.849998,0.00510
5/13/1960,55.299999,0.00820
5/16/1960,55.25,-0.00090
5/17/1960,55.459999,0.00380
5/18/1960,55.439999,-0.00040
5/19/1960,55.68,0.00430
5/20/1960,55.73,0.00090
5/23/1960,55.759998,0.00050
5/24/1960,55.700001,-0.00110
5/25/1960,55.669998,-0.00050
5/26/1960,55.709999,0.00070
5/27/1960,55.740002,0.00050
5/31/1960,55.830002,0.00160
6/1/1960,55.889999,0.00110
6/2/1960,56.130001,0.00430
6/3/1960,56.23,0.00180
6/6/1960,56.889999,0.01170
6/7/1960,57.43,0.00950
6/8/1960,57.889999,0.00800
6/9/1960,58,0.00190
6/10/1960,57.970001,-0.00050
6/13/1960,57.990002,0.00030
6/14/1960,57.91,-0.00140
6/15/1960,57.57,-0.00590
6/16/1960,57.5,-0.00120
6/17/1960,57.439999,-0.00100
6/20/1960,57.16,-0.00490
6/21/1960,57.110001,-0.00090
6/22/1960,57.279999,0.00300
6/23/1960,57.59,0.00540
6/24/1960,57.68,0.00160
6/27/1960,57.330002,-0.00610
6/28/1960,56.939999,-0.00680
6/29/1960,56.939999,0.00000
6/30/1960,56.919998,-0.00040
7/1/1960,57.060001,0.00250
7/5/1960,57.02,-0.00070
7/6/1960,56.939999,-0.00140
7/7/1960,57.240002,0.00530
7/8/1960,57.380001,0.00240
7/11/1960,56.869999,-0.00890
7/12/1960,56.25,-0.01090
7/13/1960,56.099998,-0.00270
7/14/1960,56.119999,0.00040
7/15/1960,56.049999,-0.00120
7/18/1960,55.700001,-0.00620
7/19/1960,55.700001,0.00000
7/20/1960,55.610001,-0.00160
7/21/1960,55.099998,-0.00920
7/22/1960,54.720001,-0.00690
7/25/1960,54.18,-0.00990
7/26/1960,54.509998,0.00610
7/27/1960,54.169998,-0.00620
7/28/1960,54.57,0.00740
7/29/1960,55.509998,0.01720
8/1/1960,55.529999,0.00040
8/2/1960,55.040001,-0.00880
8/3/1960,54.720001,-0.00580
8/4/1960,54.889999,0.00310
8/5/1960,55.439999,0.01000
8/8/1960,55.52,0.00140
8/9/1960,55.84,0.00580
8/10/1960,56.07,0.00410
8/11/1960,56.279999,0.00370
8/12/1960,56.66,0.00680
8/15/1960,56.610001,-0.00090
8/16/1960,56.720001,0.00190
8/17/1960,56.84,0.00210
8/18/1960,56.810001,-0.00050
8/19/1960,57.009998,0.00350
8/22/1960,57.189999,0.00320
8/23/1960,57.75,0.00980
8/24/1960,58.07,0.00550
