dates,Close,NASDAQ_Change
12/12/1985,320.600006,0.00530
12/13/1985,324,0.01060
12/16/1985,325.200012,0.00370
12/17/1985,323.299988,-0.00580
12/18/1985,322.5,-0.00250
12/19/1985,322.700012,0.00060
12/20/1985,323.100006,0.00120
12/23/1985,321.600006,-0.00460
12/24/1985,320.200012,-0.00440
12/26/1985,320.299988,0.00030
12/27/1985,322.799988,0.00780
12/30/1985,323.100006,0.00090
12/31/1985,324.899994,0.00560
1/2/1986,325,0.00030
1/3/1986,325.700012,0.00220
1/6/1986,326,0.00090
1/7/1986,329.700012,0.01130
1/8/1986,328.100006,-0.00490
1/9/1986,323,-0.01550
1/10/1986,324.399994,0.00430
1/13/1986,324.200012,-0.00060
1/14/1986,324.799988,0.00190
1/15/1986,328.200012,0.01050
1/16/1986,330,0.00550
1/17/1986,330.700012,0.00210
1/20/1986,329.5,-0.00360
1/21/1986,328.5,-0.00300
1/22/1986,326.799988,-0.00520
1/23/1986,326.700012,-0.00030
1/24/1986,328.899994,0.00670
1/27/1986,330.200012,0.00400
1/28/1986,332.600006,0.00730
1/29/1986,334.700012,0.00630
1/30/1986,334.299988,-0.00120
1/31/1986,335.799988,0.00450
2/3/1986,337.5,0.00510
2/4/1986,337.899994,0.00120
2/5/1986,338.899994,0.00300
2/6/1986,340.799988,0.00560
2/7/1986,342.200012,0.00410
2/10/1986,344,0.00530
2/11/1986,344.899994,0.00260
2/12/1986,346.299988,0.00410
2/13/1986,347.899994,0.00460
2/14/1986,350.200012,0.00660
2/18/1986,352.399994,0.00630
2/19/1986,352.100006,-0.00090
2/20/1986,353.100006,0.00280
2/21/1986,355.649994,0.00720
2/24/1986,355.299988,-0.00100
2/25/1986,354.899994,-0.00110
2/26/1986,355.299988,0.00110
2/27/1986,358.100006,0.00790
2/28/1986,359.5,0.00390
3/3/1986,359.799988,0.00080
3/4/1986,362,0.00610
3/5/1986,359.799988,-0.00610
3/6/1986,361.5,0.00470
3/7/1986,362.200012,0.00190
3/10/1986,363.899994,0.00470
3/11/1986,367.399994,0.00960
3/12/1986,369.700012,0.00630
3/13/1986,370.399994,0.00190
3/14/1986,371.799988,0.00380
3/17/1986,370,-0.00480
3/18/1986,371.5,0.00410
3/19/1986,371.700012,0.00050
3/20/1986,372.700012,0.00270
3/21/1986,372.600006,-0.00030
3/24/1986,370.700012,-0.00510
3/25/1986,369.299988,-0.00380
3/26/1986,370.600006,0.00350
3/27/1986,373.299988,0.00730
3/31/1986,374.700012,0.00380
4/1/1986,374.200012,-0.00130
4/2/1986,374.100006,-0.00030
4/3/1986,374.5,0.00110
4/4/1986,372.200012,-0.00610
4/7/1986,369.100006,-0.00830
4/8/1986,373.100006,0.01080
4/9/1986,374.200012,0.00290
4/10/1986,377.200012,0.00800
4/11/1986,378.899994,0.00450
4/14/1986,380.799988,0.00500
4/15/1986,381.700012,0.00240
4/16/1986,387.600006,0.01550
4/17/1986,390,0.00620
4/18/1986,390.100006,0.00030
4/21/1986,391,0.00230
4/22/1986,390.5,-0.00130
4/23/1986,389.100006,-0.00360
4/24/1986,391.5,0.00620
4/25/1986,392.299988,0.00200
4/28/1986,391.399994,-0.00230
4/29/1986,389.200012,-0.00560
4/30/1986,383.200012,-0.01540
5/1/1986,381.700012,-0.00390
5/2/1986,383.200012,0.00390
5/5/1986,386,0.00730
5/6/1986,386.299988,0.00080
5/7/1986,385.299988,-0.00260
5/8/1986,387.399994,0.00550
5/9/1986,389.100006,0.00440
5/12/1986,388.100006,-0.00260
5/13/1986,386.700012,-0.00360
5/14/1986,387.299988,0.00160
5/15/1986,385.600006,-0.00440
5/16/1986,384.700012,-0.00230
5/19/1986,383.700012,-0.00260
5/20/1986,385.299988,0.00420
5/21/1986,386.100006,0.00210
5/22/1986,389.600006,0.00910
5/23/1986,391.899994,0.00590
5/27/1986,394.899994,0.00770
5/28/1986,397.200012,0.00580
5/29/1986,398,0.00200
5/30/1986,400.200012,0.00550
6/2/1986,399.399994,-0.00200
6/3/1986,399.5,0.00030
6/4/1986,399.100006,-0.00100
6/5/1986,400,0.00230
6/6/1986,400.299988,0.00070
6/9/1986,394.700012,-0.01400
6/10/1986,392.799988,-0.00480
6/11/1986,395.399994,0.00660
6/12/1986,396.5,0.00280
6/13/1986,399.600006,0.00780
6/16/1986,398.5,-0.00280
6/17/1986,396.299988,-0.00550
6/18/1986,395.200012,-0.00280
6/19/1986,396.399994,0.00300
6/20/1986,396.899994,0.00130
6/23/1986,396.799988,-0.00030
6/24/1986,398.899994,0.00530
6/25/1986,402.200012,0.00830
6/26/1986,402.899994,0.00170
6/27/1986,403.600006,0.00170
6/30/1986,405.5,0.00470
7/1/1986,407.600006,0.00520
7/2/1986,409.5,0.00470
7/3/1986,411.200012,0.00420
7/7/1986,401,-0.02480
7/8/1986,390.700012,-0.02570
7/9/1986,393.399994,0.00690
7/10/1986,392,-0.00360
7/11/1986,391.600006,-0.00100
